index,title,content
903015,中国航天员首次进驻天宫一号,"6月18日,神舟九号飞船与天宫一号实施自动交会对接,这是中国实施的首次载人空间交会对接。图为三名航天员进驻天宫一号。(视频截图)"
1048951,华硕 R400VD(i7 3610QM),"【ASUS(华硕) 华硕 R400VD(i7 3610QM),华硕 X32系列 超极本 笔记本电脑】产品搜索"
881860,一周融资净买入额排名,序号 标的标的 一周融资 一周融资 一周融资 融资代码 简称净买入额买入额偿还额 余额(万元) (万元) (万元) (万元)1 000522 白云山A 30863.18 30863.18 0.00 250891.902 000858 五粮液 20864.29 20864.29 0.00 438548.783 002106 莱宝高科 12994.58 12994.58 0.00 79702.084 000629 攀钢钒钛 12918.18 12918.18 0.00 224230.015 000792 盐湖股份 12451.14 12451.14 0.00 181386.606 000402 金融街 11593.08 11593.08 0.00 134628.46
1011165,【 0.35-0.5度 冰箱】产品搜索,产品类别:双开门总容积:196L额定耗电量:0.45度/天冷藏室容积:128L冷冻室容积:68L制冷能力:5kg/24h外形尺寸:610×525×1485mm
1028020,1.6T豪华型(优雅风格),评测2011款1.6T豪华型(优雅风格)评测2011款1.6T豪华型(优雅风格)
915101,美联储会议纪要难觅利好 布原油回挫100美元下方,"布伦特原油期货周四(7月12日)欧市早盘回调至100美元下方,美联储(Fed)6月会议纪要未透露清晰的货币刺激政策前景,市场风险偏好情绪受抑,而对中国经济状况的悲观预期使以需求端为主的基本面持续乏力。截至北京时间16:29,布伦特原油期货下跌0.63美元,报99.60美元/桶;美国Nymex原油期货价格下跌0.55元,报85.26美元/桶。中国第二季度国内生产总值(GDP)将于周五公布,投资者预期该数据或将创出3年来最差水平。而隔夜美联储(Fed)6月会议纪要也显示只有在经济前景充分恶化的前提下美联储才有可能推出更多刺激政策。Ritterbusch & Associates首席执行官Jim Ritterbusch表示:""包括原油在内的所有风险资产投资者都对未来经济前景持悲观态度,中国数据公布之前谨慎情绪弥漫。""而美国能源署(EIA)公布的官方数据显示,美国7月7日当周原油库存下降470万桶,降幅近4倍于此前市场预期。CMC Markets首席市场分析师Ric Spooner指出:""我们看到了美国原油库存的下滑,这正朝着正确的方向发展。同时,市场也开始担忧伊朗产量维持断线将使闲置产能持续收窄。""摩根大通(J.P. Morgan)发布报告指出:""由于夏季驾车季节有效地驱动了美国燃油需求,我们预计精炼运转程度将持续居于高位,并帮助拉低由于北美产出上升而积压的库存水平。""OPEC周三发布月报称,预计今明两年非OPEC成员国石油供应增幅将分别达70万桶/天与90万桶/天。"
881642,“三沙概念”如火如荼 QFII大本营接力猛炒,"近期,三沙市设立为沉闷的A股市场引入一股活水,江浙与成都游资联袂追击,中海海盛(600896)、海峡股份(002596)、海南瑞泽(002596)等相关概念股逆市上涨。昨日,著名的QFII大本营中金上海淮海中路营业部又开始接力炒作海峡股份,以3628.80万元的金额位居买1。6月25日,A股市场迎来三沙市成立后的首个交易日,《每日经济新闻》记者注意到,海峡股份异军突起,呈现“一”字涨停。据当日龙虎榜数据显示,海峡股份买入前五席均被游资占据,中信证券杭州半山路营业部、华泰证券江阴福泰路营业部、华泰证券盐城人民中路营业部、信达证券杭州体育场路营业部等江浙营业部齐聚该股,共计买进2979万元。紧接着,26日~27日,海峡股份放量涨停,知名游资中金公司上海淮海中路营业部、五矿证券深圳金田路营业部、国泰君安成都北一环路营业部也加入了抢筹行列,三者分别买进3629万元、2413万元和266万元。海峡股份连续涨停让各路游资获利颇丰,不过,国泰君安成都北一环路营业部已于27日选择获利了结,当日卖出2654万元,该游资或已清仓出货。"
1007218,“神九”三款产品孝感造,"湖北日报讯 (记者李剑军、通讯员祝伟、孙亚莉)神舟九号成功发射举国欢腾,地处孝感市的中国航天科工集团第四研究院红峰控制公司全体员工更是群情振奋:因为“神九”上有三款产品出自他们之手,分别是迷你太空厨房、“太空空调”气体流量调节阀和微型“太空医院”生理信号测试盒。据介绍,从1993年神舟一号开始,该公司就一直为神舟系列飞船提供配套产品。此次为“神九”打造的迷你太空厨房,主要炊具是食品加热装置,包括一个黑色控制器和一个白色加热器,一并安装在飞船轨道舱隔板上。白色加热器采用箱式化设计,如同日常家用医药箱大小。以往航天员因为担心电力不够,常常吃冰冷的食物。此次飞船上专门为航天员吃饭配备了充足的能源,航天员30分钟就可以吃上热气腾腾的饭菜了。"
1041291,遏制“节日腐败”制度改革是关键,"倪俊雄一案中,辩护律师提出,行贿人为了搞好关系而在逢年过节送的红包不应计入受贿数额,因此倪俊雄不构成受贿罪。但广东省东莞市中级人民法院一审判决,认定倪俊雄犯受贿罪的事实清楚。节日腐败、婚嫁腐败、生日腐败等,目前已经成为不少官员利用人情敛财的新形式。倪俊雄可谓一名典型的跌倒在“节日人情”上的官员,其受贿的时间几乎都是节日期间,尤其以传统节日,如中秋节、春节等居多。这种“节日人情”在如今的贪腐案件中已经屡见不鲜。反腐专家李永忠认为,在市场经济下,权力含金量增加,一些公职人员巧妙地借助传统节假日,将受贿淡化或者弱化为人情交往,以规避犯罪。李永忠指出,判断其是否犯罪,关键在于是否利用职务便利,只要利用了职务便利,就是受贿所得。国家行政学院教授竹立家表示,受传统文化影响,当前的社会仍然存在着“官本位”的思想,以人际交往为荣。节假日期间较为清闲,大家走动、交往的时间比较宽裕,更易催生官员的人情交易诉求。但“节日人情”并不是滋生节日腐败的根本性原因,其根源还在于个人的价值观问题。一些官员忘记作为公职人员应遵守的基本准则,忘记党员的原则,廉政观念淡薄。竹立家认为,官员作为公职人员,其人情交往必须局限于亲情范围,超出这个界限的人情交易,必然会导致行贿受贿。从出现“节日腐败”的源头来看,李永忠认为,这与薪酬制度、监督制度与权力结构设计等方面紧密相关。在薪酬制度上,目前我国属于低薪养廉,加之市场经济浪潮的冲击,部分官员通过贪污受贿等违法、犯罪的方式来保证体面的生活;在监督制度上,我国现有的同体监督,不管在发现问题、解决问题上,都显得无效。茂名市的“官场地震”即是体现,茂名市纪委无法对其领导机关进行有效监督,“就像一把锋利的刀的刀刃,是无法砍到自己的刀把的”;在权力结构设计上,决策、执行、监督三权合一,往往过度集中在少数人手里,形成“一把手”体制,在一些地方和单位产生了大大小小的土皇帝,他们滥用人民所赋予的权力,产生腐败。"
1038043,底盘/车轮制动,- 车辆基本信息厂商指导价: 经销商报价: 车厂: 级别: 车体结构: 长x宽x高(mm): 发动机: 变速箱: 官方最高车速(km/h): 工信部油耗(L/100km)(城市/市郊/综合): 官方0-100加速(s): 保养周期: 保修政策: 碰撞星级: 更多实测参数: - 车身长度(mm): 宽度(mm): 高度(mm): 轴距(mm): 前轮距(mm): 后轮距(mm): 整备质量(kg): 车身结构: 车门数(个): 座位数(个): 油箱容积(L): 行李厢容积(L): 最小离地间隙(mm): 最小转弯半径(m): 接近角(°): 离去角(°): 涉水深度(mm): - 发动机/变速箱发动机描述: 发动机型号: 排量(L): 汽缸容积(cc): 工作方式: 汽缸数(个): 汽缸排列形式: 每缸气门数(个): 气门结构: 压缩比: 最大马力(ps): 最大功率(kW/rpm): 最大扭矩(N·m/rpm): 升功率(kW/l): 燃料: 供油方式: 缸盖材料: 缸体材料: 缸径(mm): 行程(mm): 排放标准: 变速箱简称: 挡位个数: 变速箱类型: -驱动方式: 前悬挂类型: 后悬挂类型: 底盘结构: 前轮胎规格: 后轮胎规格: 轮毂材料: 备胎规格: 前制动器类型: 后制动器类型: 驻车制动类型: 分动器类型: 转向助力: 可调悬挂: 空气悬挂: 主动转向系统: 自适应巡航: - 安全装备驾驶座安全气囊: 副驾驶安全气囊: 前排侧气囊: 后排侧气囊: 头部气帘: 膝部气囊: 安全带未系提示: 自动防抱死(ABS等): 制动力分配(EBD/CBC等): 刹车辅助(EBA/BAS/BA等): 牵引力控制(ASR/TCS/TRC等): 车身稳定控制(ESP/DSC/VSC等): 主动刹车/安全系统: 自动驻车/上坡辅助: 陡坡缓降: 发动机电子防盗: 车内中控锁: 遥控钥匙: 无钥匙启动系统: 胎压监测装置: 零胎压继续行驶: 并线辅助: 全景摄像头: 夜视系统: - 车身功能手动天窗: 电动天窗: 电动双天窗: 全景天窗: 运动外观套件: 电动后舱/行李箱盖: 电动吸合门: - 车内功能真皮方向盘: 方向盘上下调节: 方向盘前后调节: 方向盘电动调节: 多功能方向盘: 方向盘换挡: 定速巡航: 行车电脑显示屏: 自发光仪表盘: HUD抬头数字显示: 倒车雷达: 倒车影像: 自动停车入位: 行李舱灯: 独立电源接口: 中控液晶屏分屏显示: - 座椅配置真皮/仿皮座椅: 运动座椅: 座椅高低调节: 腰部支撑调节: 肩部支撑调节: 驾驶席座椅电动调节: 副驾驶座椅电动调节: 后排座椅手动调节: 后排座椅电动调节: 电动座椅记忆: 前排座椅加热: 后排座椅加热: 座椅通风: 座椅按摩: 后排座椅整体放倒: 后排座椅比例放倒: 第三排座椅: 前座中央扶手: 后座中央扶手: - 多媒体配置单碟CD: 多碟CD系统: 单碟DVD: 多碟DVD系统: CD支持MP3/WMA: 外接音源接口(AUX/USB/iPod等): 扬声器喇叭数量(个): 音响品牌: 蓝牙/车载电话: 车载电视: 中控台液晶屏: 后排液晶屏: GPS导航系统: 内置硬盘: 车载信息服务: 人机交互系统(MMI/iDrive等): - 灯光配置氙气大灯: 日间行车灯: 前雾灯: 大灯自动开闭: 大灯随动调节: 大灯高度可调: 大灯清洗装置: 车内氛围灯: - 车窗及后视镜
949233,底盘/车轮制动,- 车辆基本信息厂商指导价: 经销商报价: 车厂: 级别: 车体结构: 长x宽x高(mm): 发动机: 变速箱: 官方最高车速(km/h): 工信部油耗(L/100km)(城市/市郊/综合): 官方0-100加速(s): 保养周期: 保修政策: 碰撞星级: 更多实测参数: - 车身长度(mm): 宽度(mm): 高度(mm): 轴距(mm): 前轮距(mm): 后轮距(mm): 整备质量(kg): 车身结构: 车门数(个): 座位数(个): 油箱容积(L): 行李厢容积(L): 最小离地间隙(mm): 最小转弯半径(m): 接近角(°): 离去角(°): 涉水深度(mm): - 发动机/变速箱发动机描述: 发动机型号: 排量(L): 汽缸容积(cc): 工作方式: 汽缸数(个): 汽缸排列形式: 每缸气门数(个): 气门结构: 压缩比: 最大马力(ps): 最大功率(kW/rpm): 最大扭矩(N·m/rpm): 升功率(kW/l): 燃料: 供油方式: 缸盖材料: 缸体材料: 缸径(mm): 行程(mm): 排放标准: 变速箱简称: 挡位个数: 变速箱类型: -驱动方式: 前悬挂类型: 后悬挂类型: 底盘结构: 前轮胎规格: 后轮胎规格: 轮毂材料: 备胎规格: 前制动器类型: 后制动器类型: 驻车制动类型: 分动器类型: 转向助力: 可调悬挂: 空气悬挂: 主动转向系统: 自适应巡航: - 安全装备驾驶座安全气囊: 副驾驶安全气囊: 前排侧气囊: 后排侧气囊: 头部气帘: 膝部气囊: 安全带未系提示: 自动防抱死(ABS等): 制动力分配(EBD/CBC等): 刹车辅助(EBA/BAS/BA等): 牵引力控制(ASR/TCS/TRC等): 车身稳定控制(ESP/DSC/VSC等): 主动刹车/安全系统: 自动驻车/上坡辅助: 陡坡缓降: 发动机电子防盗: 车内中控锁: 遥控钥匙: 无钥匙启动系统: 胎压监测装置: 零胎压继续行驶: 并线辅助: 全景摄像头: 夜视系统: - 车身功能手动天窗: 电动天窗: 电动双天窗: 全景天窗: 运动外观套件: 电动后舱/行李箱盖: 电动吸合门: - 车内功能真皮方向盘: 方向盘上下调节: 方向盘前后调节: 方向盘电动调节: 多功能方向盘: 方向盘换挡: 定速巡航: 行车电脑显示屏: 自发光仪表盘: HUD抬头数字显示: 倒车雷达: 倒车影像: 自动停车入位: 行李舱灯: 独立电源接口: 中控液晶屏分屏显示: - 座椅配置真皮/仿皮座椅: 运动座椅: 座椅高低调节: 腰部支撑调节: 肩部支撑调节: 驾驶席座椅电动调节: 副驾驶座椅电动调节: 后排座椅手动调节: 后排座椅电动调节: 电动座椅记忆: 前排座椅加热: 后排座椅加热: 座椅通风: 座椅按摩: 后排座椅整体放倒: 后排座椅比例放倒: 第三排座椅: 前座中央扶手: 后座中央扶手: - 多媒体配置单碟CD: 多碟CD系统: 单碟DVD: 多碟DVD系统: CD支持MP3/WMA: 外接音源接口(AUX/USB/iPod等): 扬声器喇叭数量(个): 音响品牌: 蓝牙/车载电话: 车载电视: 中控台液晶屏: 后排液晶屏: GPS导航系统: 内置硬盘: 车载信息服务: 人机交互系统(MMI/iDrive等): - 灯光配置氙气大灯: 日间行车灯: 前雾灯: 大灯自动开闭: 大灯随动调节: 大灯高度可调: 大灯清洗装置: 车内氛围灯: - 车窗及后视镜
933043,财政部通知:购新能源汽车最高补贴5万元,"在近日财政部发布《关于开展节能与新能源汽车示范推广试点工作的通知》,通知中指出凡在北京、上海、广州、重庆等全国25个试点城市购买《新能源车型推荐目录》中入围的新能源与节能车型,并使用于公交、出租、公务、环卫和邮政等公共服务领域,中央财政部将根据车型的节油率和电功率比标准给予一次性定额补助。另外,在7月9日,国务院正式发布《节能与新能源汽车产业发展规划》,规划称新能源汽车产业发展将以纯电驱动为新能源汽车发展和汽车工业转型的主要战略取向,当前重点推进纯电动汽车和插电式混合动力汽车产业化。据规划指出,对新能源汽车产业发展目标做出了具体要求,首先,在销量上,到2015年,纯电动汽车和插电式混合动力汽车累计产销量力争达到50万辆;到2020年,纯电动汽车和插电式混合动力汽车生产能力达200万辆、累计产销量超过500万辆。再者,在电动车里程上,到2015年,纯电动乘用车、插电式混合动力乘用车最高车速不低于100公里/小时,纯电驱动模式下综合工况续驶里程分别不低于150公里和50公里。最后在电动车节油性能上,到2015年,当年生产的乘用车平均燃料消耗量降至6.9升/百公里,节能型乘用车燃料消耗量降至5.9升/百公里以下。据财政部发布《关于开展节能与新能源汽车示范推广试点工作的通知》凯美瑞混合动力等13款混动轿车,凡通过采购可获补贴,最高达5万元。(责任编辑:艾娜)分享到:本文相关推荐"
932375,“四招”选定银行理财产品,"面对今年理财产品收益下滑的情况,市民怎样挑选高收益理财产品以抵抗通胀?业内人士帮您支招,“四招”选定银行理财产品。首先,投资者可以通过选择期限稍长的产品来锁定较高收益。5月份,仅6个月至1年期产品的平均预期收益率为5.1806%;6个月以下期产品平均收益率降至4.80%以下。截至6月14日,本月6个月至1年期产品的平均预期收益率已降至5%左右;6个月以下期产品平均收益率降至4.55%以下。其次,在准确评估风险承受能力的基础上,投资者可以选择一些组合投资类产品进行购买。债券和货币市场类产品的收益,主要受市场流动性因素影响,因此降息对该类产品冲击最大。而组合投资类产品的理财资金投向多个投资标的,其中非固定收益类资产受降息影响较小,因此目前产品收益较为稳定。"
970765,少年溺水身亡5同伴家长共赔2万元,"本报张掖讯(记者曹勇 通讯员王志红)6名未成年孩子在一起玩耍时,其中一名孩子溺水身亡,死者家属遂要求其他5名孩子赔偿。6月21日,记者从甘州区法院获悉,经法庭调解,5名孩子的法定代理人共赔偿死者家属2万元。"
980535,北野武“极恶非道2”杀青 台词量比以往增加,"北野武“极恶非道2 ”杀青东莞时报讯 据日本媒体报道,北野武担当导演、编剧、主演的新作《极恶非道2》已于近日杀青。北野武的作品大多以“台词少”而闻名,此部《极恶非道2》将比前作的台词量有所增加,“语言的枪战”将是本片值得一看的地方。影片将于2012年10月6日在日本全国公映。"
940939,查封违建 工人血汗钱“遭殃”,"本报讯 (记者董哲)“执法部门查封违规建房,工人的工资怎么办?”前天下午,樟木头火车站附近一工地的工人焦急地说,由于该工地建房没有“身份证”,执法部门将该工地查封,没想到承包工头居然卷款私逃,欠下工人四五十万“血汗钱”。当地相关部门表示,执法过程并无过失,停工造成的劳资纠纷应由开发商或业主负责,有关部门已介入调查。前天下午,记者接报赶到樟木头火车站附近的事发工地时,该工地的大门紧闭。几名男子走过来称,他们是该工地的建筑工人,前几天当他们正在施工的时候忽然被叫停,当地执法部门称要查封该建筑,称该建筑工程涉嫌违规。据现场一名工人张先生介绍,当时他们已开工两个多月,承包工程的二手工头一直都没给他们发过工资。“他们连一点生活费都没有给我们补贴,一听说执法部门查封工地,工头就逃跑了。”据了解,该工地大约有四五十名工人,其中平均每人开工三个多月,被欠薪一万元左右。“四五十万元工钱没有了着落。”工人陈先生介绍说,相关部门已介入调查此事。有关部门:执法无过失将督促处理樟木头综合执法分局负责人介绍,经相关部门调查发现,该工程系一缺少“两证一书”(即土地建设批准书、规划许可证、建设施工许可证)的违规建房工程,他已将房屋的房主以及承包商控制。“工头卷款私逃,导致欠下工人不少工资。”该负责人说,经过相关部门的多次协商,他们决定先暂停该违规建房工程的施工。“6月1日的时候,我们已向工地发出过停工通知书,6月8日将工地查封。”对于该违规建筑工地的查封,该负责人表示,该部门的执法并无过失,而停工所造成的工人误工等劳资纠纷,应当由当地开发商或业主负责。“工人应当找业主和开发商索要工资,我们也将介入事件的处理,督促他们将工资补偿到位。”该负责人说。"
897771,霍奇森称沃尔科特伤病无忧 鲁尼复出将战乌克兰,"中新网6月19日电 当地时间下午,英格兰召开新闻发布会。主帅霍奇森表示,此前传出伤情的沃尔科特已经无碍,将出战乌克兰。霍奇森还称,遭到禁赛的鲁尼将会复出担任首发前锋。"
961658,"Samsung(三星),Haier(海尔) Nvidia CPU 手机","【Samsung(三星),Haier(海尔) Nvidia CPU 手机】产品搜索"
1009519,1.6GX 手动标准型(劲锐版),指导价:9.98万 经销商报价:9.98~9.98万 找底价生产厂家:东风日产驱动方式:前置前驱汽车级别:紧凑型车车体结构:5门5座两厢轿车年款:2008款整体质量:1115公斤长x宽x高:4275×1730×1615工信部综合油耗:7.4发动机:1.6L 105马力 L4保修:整车2年/6万公里变速箱:5挡手动
