"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"loa mini","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"tấm nhựa lót sàn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"áo hoodie đôi","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"tokyolife","Thời Trang Nữ","Fashion Accessories","Women Clothes",
"lego phi hành gia","Đồ Chơi","Toys","Toys",
"lego phi hành gia","Đồ Chơi","Toys","Toys",
"lego phi hành gia","Đồ Chơi","Toys","Toys",
"áo khoác dạ nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"máy đo oxy","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"áo khoác","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"lũa thủy sinh","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"pacman","Mẹ & Bé","Mobile & Accessories","Mobile & Accessories",
"ip8 plus","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"ip8 plus","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"bến xe","Nhà Sách Online","Books","Books",
"hộp cơm giữ nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"hộp cơm giữ nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"hộp cơm giữ nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"hộp cơm giữ nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"gà ủ muối","Bách Hoá Online","Grocery","Grocery","Grocery"
"móc khóa xe máy","Đồ Chơi","Automotive","Automotive",
"bàn ủi hơi nước","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"biển","Others","Grocery","Women Clothes",
"keo composite","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"keo composite","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"sữa optimum","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"máy đuổi côn trùng","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tẩy da chết st ives","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"đồ nội địa trung quốc","Sức Khỏe & Sắc Đẹp","Grocery","Home & Living",
"áo roblox","Thời Trang Trẻ Em","Kid's Fashion","Kid's Fashion","Kid's Fashion"
"topper nệm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"sword art online","Nhà Sách Online","Men Clothes","Books",
"sword art online","Nhà Sách Online","Men Clothes","Books",
"bút vẽ 3d","Mẹ & Bé","Toys","Toys","Toys"
"ssd 240gb","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop",
"máy chà tường","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"loa jbl chính hãng","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"giường gấp gọn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"giường gấp gọn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"0đ","Others","Mobile & Accessories","Books",
"khăn trải bàn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"libe","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"mô hình goku","Đồ Chơi","Toys","Toys",
"harry potter","Nhà Sách Online","Toys","Toys","Fashion Accessories"
"quần rin nữ","Thời Trang Nữ","Women Clothes","Women Clothes",
"quần rin nữ","Thời Trang Nữ","Women Clothes","Women Clothes",
"quần tây ống suông","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"diệt quỷ cứu nhân","Đồ Chơi","Toys","Toys",
"đèn xe đạp","Thể Thao & Du Lịch","Automotive","Automotive","Automotive"
"nón bảo hiểm","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"xì gà","Others","Home & Living","Home & Living",
"bún nưa","Bách Hoá Online","Grocery","Grocery","Grocery"
"giấy dán bếp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"realme c12","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"castor oil","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"hạt bo bo","Bách Hóa Online","Grocery","Grocery",
"caudalie","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ao thun nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"xịt chống nắng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"my hero academia","Nhà Sách Online","Books","Books","Books"
"my hero academia","Nhà Sách Online","Books","Books","Books"
"pijama nữ","Thời Trang Nữ","Women Clothes","Women Clothes",
"khô gà","Bách Hoá Online","Grocery","Grocery","Grocery"
"kệ đựng mỹ phẩm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"túi vải canvas","Túi Ví","Bags","Bags","Bags"
"kính chiếu hậu xe máy","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"nệm lót ghế","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"balo đi học","Túi Ví","Bags","Bags","Bags"
"bên nhau trọn đời","Nhà Sách Online","Books","Books","Books"
"bia hà nội","Bách Hóa Online","Grocery","Grocery",
"nike","Giày Dép Nam","Women Shoes","Women Shoes","Women Shoes"
"salon","Sức Khỏe & Sắc Đẹp","Home & Living","Home & Living",
"nước cất","Sức Khỏe & Sắc Đẹp","Health & Beauty","Home & Living",
"ampli mini","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"conan","Nhà Sách Online","Books","Books",
"conan","Nhà Sách Online","Books","Books",
"cenly","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"đồ secondhand","Thời Trang Nữ","Women Clothes","Women Clothes",
"xốp lót sàn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"động cơ xe điện","Điện Thoại & Phụ Kiện","Automotive","Automotive",
"động cơ xe điện","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"bàn bệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"sữa rửa mặt simple","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"xe đạp phoenix","Thể Thao & Du Lịch","Automotive","Automotive",
"bia thủ công","Bách Hóa Online","Grocery","Grocery",
"nhà banh cho bé","Mẹ & Bé","Toys","Toys","Toys"
"máy bắn đinh","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"quạt giấy","Nhà Cửa & Đời Sống","Home & Living","Books","Home & Living"
"miếng lót giày","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"túi gucci","Túi Ví","Bags","Bags","Bags"
"túi gucci","Túi Ví","Bags","Bags","Bags"
"vòng ngọc trai","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"bút ký","Nhà Sách Online","Books","Books","Books"
"điện thoại xiaomi","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"mũ bảo hiểm cute","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"thẻ nhớ máy ảnh","Điện Thoại & Phụ Kiện","Cameras","Cameras","Cameras"
"áo khoac nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"áo khoac nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"áo khoac nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"áo khoac nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"amway","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"balo da","Túi Ví","Bags","Bags","Men Clothes"
"áo vest nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"play doh","Mẹ & Bé","Toys","Toys","Toys"
"keo dán xốp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Others"
"bột trà xanh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bột trà xanh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"vỉ nướng","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"gạch thảm","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"truyện attack on titan","Nhà Sách Online","Books","Books",
"đồ chơi","Mẹ & Bé","Toys","Toys","Toys"
"tháp khói trầm hương","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"hoa mẫu đơn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"thảm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"áo thun","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"áo thun","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"bơm xe máy","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"zata","Nhà Sách Online","Men Shoes","Men Shoes",
"bánh xe đẩy","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"đồng hồ led","Nhà Cửa & Đời Sống","Watches","Home & Living","Home & Living"
"iphone 6 plus","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"áo oversize","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"pin xe điện","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"fidget cube","Nhà Sách Online","Toys","Toys","Toys"
"pô leovince","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"pô leovince","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"sex toy","Others","Health & Beauty","Health & Beauty",
"đèn led dây","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tui deo cheo nam","Túi Ví","Men Clothes","Men Clothes","Men Clothes"
"chổi quét sơn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"xe đạp cho bé 5 tuổi","Đồ Chơi","Automotive","Automotive",
"centrum","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"giày sandal nữ","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"quần áo nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"máy thái thịt đa năng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"iphone 8","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"vòi nước rửa chén","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"cây treo đồ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"túi đựng quần áo du lịch","Túi Ví","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"micocah","Túi Ví","Bags","Bags","Bags"
"loa trợ giảng","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"xe đạp thể thao nam","Thể Thao & Du Lịch","Automotive",,
"xiaomi mi 8 se","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"váy zen","Thời Trang Nữ","Women Clothes","Women Clothes",
"sạc dự phòng","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"miếng cách nhiệt","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"áo thu đông nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"huxley","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kem body","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"mic cài áo","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"charme","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"charme","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ban hoc","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"họa cụ","Nhà Sách Online","Books","Books",
"họa cụ","Nhà Sách Online","Books","Books",
"procare diamond","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"album blackpink","Nhà Sách Online","Books","Books",
"bạt","Nhà Cửa & Đời Sống","Automotive","Home & Living",
"iwin","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"loa","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"cao gắm","Bách Hoá Online","Grocery","Grocery",
"đèn lồng","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bình nước starbuck","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"khăn tắm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"bình nóng lạnh","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"levi","Nhà Sách Online","Men Clothes","Men Clothes",
"mq skin","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"psp","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Computer & Laptop"
"psp","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Computer & Laptop"
"đất nặn","Đồ Chơi","Toys","Toys",
"máy cắt","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"nuty","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"nuty","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"áo câu cá","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"áo câu cá","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"xe đạp cho bé","Đồ Chơi","Automotive","Automotive","Automotive"
"keo con chó","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"pallet gỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bút chì","Nhà Sách Online","Books","Books","Books"
"bút chì","Nhà Sách Online","Books","Books","Books"
"đệm lò xo","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"đệm lò xo","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bột ngũ cốc hàn quốc","Bách Hóa Online","Grocery","Grocery","Grocery"
"sen đá","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giày van","Giày Dép Nam","Women Shoes","Women Shoes",
"áo ngủ gợi cảm","Thời Trang Nữ","Women Clothes",,
"fidget spinner","Nhà Sách Online","Toys","Toys",
"fidget spinner","Nhà Sách Online","Toys","Toys",
"cicaplast baume b5","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy ép cám viên","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"toner mamonde","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"kẹo trái cây","Bách Hóa Online","Grocery","Grocery","Grocery"
"dây đeo thẻ","Nhà Sách Online","Books","Books","Books"
"thau tắm bé","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"lenormand","Nhà Sách Online","Toys","Toys","Toys"
"serum chống lão hóa","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"thẻ đeo nhân viên","Phụ Kiện Thời Trang","Books","Books",
"khẩu trang 3m 9001v","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ds","Thiết Bị Điện Tử","Health & Beauty",,
"moto","Nhà Cửa & Đời Sống","Automotive","Toys",
"váy","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"váy","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"vách ngăn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"chúng ta đáng yêu như thế","Thời Trang Nữ","Men Clothes","Books",
"dep nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"thiên yết","Thời Trang Nữ","Fashion Accessories","Fashion Accessories",
"đồng hồ curnon","Đồng Hồ","Watches","Watches",
"sữa rửa mặt senka","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bàn ủi","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"chong chóng","Mẹ & Bé","Toys","Toys","Toys"
"robot vector","Mẹ & Bé","Toys","Toys",
"lg g8x","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"tủ quần áo gỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"quần ống rộng nữ","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"red peel","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"đèn pin xe đạp","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"đồng hồ curren","Đồng Hồ","Watches","Watches","Watches"
"clio","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bao lì xì","Nhà Sách Online","Books","Books","Books"
"bao lì xì","Nhà Sách Online","Books","Books","Books"
"loa lg","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"loa lg","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"áo khoác kaki","Thời Trang Nữ","Women Clothes","Women Clothes","Men Clothes"
"webcam pc","Thiết Bị Điện Tử","Cameras",,
"váy lolita","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"banh cho chó","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"the ordinary","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"xep hinh","Đồ Chơi","Toys","Toys",
"chair","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"hoa giả","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"dekamon","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"ghe sofa","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"balo máy ảnh","Máy ảnh - Máy quay phim","Cameras","Cameras","Cameras"
"dép crocs","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"dép crocs","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"dép crocs","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"áo polo","Thời Trang Nữ","Men Clothes","Women Clothes","Men Clothes"
"marshmallow","Bách Hóa Online","Grocery","Grocery","Grocery"
"móc khóa cute","Đồ Chơi","Books","Books","Books"
"tinh dầu nước hoa","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tinh dầu nước hoa","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"chân váy xòe dài","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"gilaa","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tấm xốp lót sàn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"băng dính chống thấm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"haemovit","Sức Khỏe & Sắc Đẹp","Others","Others",
"bookmark","Nhà Sách Online","Books","Books","Books"
"skinlax","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"áo kiểu nữ đẹp","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"áo sơn tùng","Thời Trang Nữ","Men Clothes","Men Clothes",
"nến","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"máy ảnh polaroid","Máy ảnh - Máy quay phim","Cameras","Cameras",
"anime girl","Nhà Sách Online","Mobile & Accessories","Toys",
"lép","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"giấy in nhiệt k80","Nhà Sách Online","Books","Books","Books"
"chè dưỡng nhan","Bách Hoá Online","Grocery","Grocery","Grocery"
"chè dưỡng nhan","Bách Hoá Online","Grocery","Grocery","Grocery"
"socola rượu","Bách Hóa Online","Grocery","Grocery","Grocery"
"socola rượu","Bách Hóa Online","Grocery","Grocery","Grocery"
"socola rượu","Bách Hóa Online","Grocery","Grocery","Grocery"
"bungou stray dogs","Nhà Sách Online","Books","Books",
"ree","Thời Trang Nữ","Women Clothes","Women Clothes",
"áo bóng rổ","Thời Trang Nữ","Sports & Outdoors","Women Clothes","Sports & Outdoors"
"nồi lẩu nướng","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"nam châm điện","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"hulk","Nhà Sách Online","Toys","Toys",
"macca","Bách Hóa Online","Grocery","Grocery","Grocery"
"macca","Bách Hóa Online","Grocery","Grocery","Grocery"
"macca","Bách Hóa Online","Grocery","Grocery","Grocery"
"macca","Bách Hóa Online","Grocery","Grocery","Grocery"
"đầu bàn chải điện oral b","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"vải áo dài","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"ly starbucks chính hãng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"ly starbucks chính hãng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"ielts","Nhà Sách Online","Books","Books",
"ielts","Nhà Sách Online","Books","Books",
"băng keo 2 mặt siêu dính","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"máy tinh dầu","Nhà Cửa & Đời Sống","Home & Living","Home Appliances",
"đồ bộ kiểu đẹp","Thời Trang Nữ","Women Clothes","Women Clothes",
"giày cao gót","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"ipad air 4","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"thương nhớ trà long","Nhà Sách Online","Books","Books",
"terrarium","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"máy dò kim loại cầm tay","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"chậu cây","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"đầm công sở","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"giường gấp đa năng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
